name,salary,company_name,metro_station,description_list_items,company_address,rating,skills,description
Программист 1С,,АндерСон,Нижегородская,"['Требуемый опыт работы', '', ':', '3–6 лет']","Москва, Нижегородская, Новохохловская, Новохохловская, Новохохловская улица, 23","4,6","1С: Зарплата и управление персоналом, 1С программирование, 1С: Предприятие 8, 1С: Бухгалтерия, ERP-системы на базе 1С","Компания ""АндерСон"" — сеть семейных кафе и кондитерских, производство кондитерских изделий, организация праздников. Успешно работаем с 2009 года, открыли 42 кафе, поставляем свою продукцию в сети «ВкусВилл», «Азбука Вкуса», «Перекресток». Какие задачи нужно будет выполнять?  Бесперебойная работа сервисов компании на базе 1С; Корректные обмены между базами 1С; Доработка и поддержка конфигураций БП, ЗУП, ERP (в том числе без снятия с поддержки); Умение разбираться в чужом коде; Общение и поддержка пользователей.  Наши пожелания к опыту и знаниям:  Уверенное знание СКД, КД 2.0, ws и http сервисы; Опыт работы с управляемыми формами, БСП; Знание основ бухгалтерского, управленческого, кадрового учета; Умение общаться и понимать пользователей.  Какие условия работы мы предлагаем?  Официальное трудоустройство по ТК РФ; Заработная оплата: оклад + KPI; График работы 5/2; Корпоративное питание со скидкой 40% Удобная транспортная доступность - 5 минут от станции метро Новохохловская; Доброжелательная рабочая атмосфера;  Много амбиций, идей и креатива: мы, в АндерСоне, говорим открыто и всегда находим дорогу к цели;   У нас молодая позитивная команда без дресс-кодов и прочих условностей, но с ответственным отношением к делу.   Мы предлагаем широкий спектр возможностей для Вашего профессионального роста и развития, от Вас мы ожидаем эффективных решений и высоких результатов! Добро пожаловать в Команду Профессионалов!"
Программист разработчик 1C,от 200 000 руб. на руки,Мебельная фабрика Rivalli,Верхние Котлы,"['Требуемый опыт работы', '', ':', '3–6 лет']","Москва, Верхние Котлы, Нагатинская, Нагорная, 1-й Нагатинский проезд, 2с4","4,2","1C: Предприятие, 1С: Управление предприятием, ERP, 1С: Зарплата и управление персоналом, 1С программирование, ERP-системы на базе 1С, 1С УПП","Обязанности:  Участие во внедрение новых и развитии текущих информационных систем компании; Интеграция 1С со сторонними системами; Программирование бизнес-процессов компании и их оптимизация; Оптимизация и рефакторинг существующего кода; Написание технической документации и инструкций для пользователей; Техническая поддержка и обучение пользователей;  Требования:  Знание основных типовых механизмов платформы 1С 8.2, 8.3; Опыт работы с основными конфигурациями 1с УПП, ERP, БП; Опыт организации взаимодействия между различными источниками данных и 1С; Умение работать в команде. Инициативность. Системный подход к решению задач. Ответственность. Работа на результат; Основы бухгалтерского и управленческого учета;  Условия:  График 5/2 Оформление по ТК РФ Корпоративный транспорт; Парковка для автомобилей сотрудников;"
Ведущий программист (Битрикс24),от 220 000 руб. на руки,ДОМИНАНТ ГК,Полежаевская,"['Требуемый опыт работы', '', ':', '3–6 лет']","Москва, Полежаевская, улица Куусинена, 21А","3,2","JavaScript, 1С-Битрикс, Git, jQuery, HTML5, PHP7/8, Bitrix Framework, SQL, Ajax, CSS3, Инициативность, Ответственность, Честность","Привет! Команда ДИТ агрохолдинга Доминант начала проект по запуску корпоративного портала и нам в команду срочно нужен Ведущий программист! Что нужно сделать:  Доработать корпоративный портал на базе коробочного Битрикс24 Энтерпрайз (back-end + front-end) с ведением кода под системой контроля версий (git) по целям проекта. Реализовать интеграцию с внутренними сервисами компании (AD, 1С ЗУП, 1С ДО, Service Desk, Платформа обучения) со стороны портала. Организовать мониторинг доступности и ошибок портала.  Для этого необходимо:  Уверенное знание стэка: PHP7/8, Bitrix Framework, SQL, JavaScript ( jQuery, Vue.js), AJAX, HTML5, CSS3, Git; Иметь опыт доработки коробочного корпоративного портала Битрикс24 (желательно Энтерпрайз); Иметь опыт разработки/доработки модулей, приложений внутри Битрикс24; Иметь опыт синхронизации/интеграции Битрикс 24 с другими системами; Умение разбираться в «чужом» коде; Умение писать понятный и масштабируемый код; Умение оценивать предстоящий объем работ и сроки разработки; Наличие кейсов завершенных успешных проектов; Иметь опыт работы с высоконагруженными системами (от 1000 активных пользователей).  Чтобы стать незаменимой частью нашей команды, нужно быть:  Инициативным, ответственным, честным, открытым и дружелюбным)) А если к этому добавить целеустремленность и амбициозность, то карьерный рост до архитектора не заставит себя ждать!  Мы предлагаем:  Оформление по ТК РФ, полностью белый доход: оклад + проектные премии по результатам за квартал; Удаленную работу 5х2, с 9.00 до 18.00 с редким посещением офиса (совещания по планированию архитектуры решений, демонстрация/защита решений) или гибрид по желанию. В начале сотрудничества необходимо быть в офисе (адаптация, обучение регламентам, погружение в проект). Хорошо оборудованное рабочее место в офисе рядом с МЦК Зорге (5 мин. пешком) или М. Полежаевская (10-15 мин пешком); Завтраки, горячие обеды и кофе-паузы в собственной столовой, где для нас заботливо готовит наш шеф; ДМС по партнерской программе; Бесплатную парковку; Стабильность, надёжность и уверенность в завтрашнем дне! Что бы ни случилось - мы продолжаем работать и активно развиваться, ведь наша продукция нужна людям и всегда востребована: сахар, молочные продукты (весь спектр), зерновые культуры.  Есть заинтересованность или вопросы? Самый эффективный способ быстро начать диалог - откликнуться и позвонить)   В состав ГК «Доминант» входят: 7 сахарных заводов (ТОП-3 производителей сахара в РФ), 4 молочноперерабатывающих завода, более 20 сельскохозяйственных предприятий, 9 элеваторов. Штат сотрудников более 14 000 человек."
Программист С++,,АО ТЕКОН-Инжиниринг,Зорге,"['Требуемый опыт работы', '', ':', '3–6 лет']","Москва, Зорге, Октябрьское поле, 3-я Хорошевская улица, 20",Нет отзывов,"C++, Embedded, Git, Jenkins","Начав деятельность в 1990 году с разработки и производства контроллеров, ТЕКОН успешно преодолел самые сложные периоды развития российской экономики и накопил значительный кадровый, финансовый и технологический потенциал.Сегодня ТЕКОН - это группа предприятий, эффективно решающих весь спектр задач в области автоматизации технологических процессов: от производства контроллеров и ПТК до проектирования, разработки и внедрения готовых систем управления ""под ключ"", приглашает на позицию Программиста С++ Обязанности:  Разработка программного обеспечения. Интеграция с другими модулями продукта компании. Сопровождение разработанного ПО.  Требования:  Владение языком С++ (14й стандарт) Опыт работы с системами контроля версий Git. с системами CI/CD (Gitlab,Jenkins) Умение придерживаться принятых у работодателя стандартов на оформление исходного кода Знакомство с системами управления проектами Jira,Confluence Знакомство с системами управления версиями Git Понимание принципов работы Embedded систем  Условия работы:  Заработная плата (белая), определяется по результатам собеседования в зависимости от квалификации и опыта работы. Полный социальный пакет: бесплатное корпоративное питание, тренажерный зал, секция бокса, волейбола, настольного тенниса, аэрофутбола,футбола Расширенная страховка ДМС со стоматологией Работа в крупной, стабильно-развивающейся компании! Дружный, молодой коллектив! Офис на м. Октябрьское поле (7мин.пешком) МЦК Зорге (2мин.пешком) Возможность совмещать работу в офисе и удаленно."
PHP-разработчик,от 180 000 до 220 000 руб. на руки,Веб-Мост,Красносельская,"['Требуемый опыт работы', '', ':', '1–3 года']","Москва, Красносельская, Сокольники, Русаковская улица, 13","4,7","PHP, MySQL, Laravel, Redis, Git, Twig, Vue","Более 10 лет мы разрабатываем электронный журнал — систему, которая упрощает повседневную работу педагогов в образовательных организациях, а родителям и ученикам помогает своевременно узнавать о домашних заданиях, оценках, изменениях в расписании.Мы используем:  PHP 7, Laravel, Twig, Guzzle, PHPStan, Deployer MySQL 8, Redis Vue.js, Vuex, Yarn, Lodash, Font Awesome Pro, ESLint GitLab, Drone CI, Coda.io, Redmine, Slack  Чем предстоит заниматься:  разработка серверной части приложения проектирование API оптимизация работы приложения  Требования:  опыт разработки на PHP от 1 года опыт работы с MySQL или PostgreSQL, умение писать запросы и использования любой ORM навыки работы с Git  Опыт фронтенд-разработки, представление о Highload и об уязвимостях веб-приложений будут плюсом.Условия работы:  офис в бизнес-центре класса B+ (м. Красносельская/Сокольники), опенспейс ~120м2 официальное оформление испытательный срок до 2 месяцев гибкое начало рабочего дня: с 8 до 11 часов частично удаленный формат работы (2 дня в неделю)"
Программист 1 С,,ООО Кранц,,"['Требуемый опыт работы', '', ':', '3–6 лет']","Москва, Сретенский бульвар, 6/1с2",Нет отзывов,"1С: Управление Торговлей, 1С программирование, 1С: Документооборот, 1С: Предприятие 8, MS SQL, 1С: Комплексная автоматизация","Обязанности:  Сопровождение типовых и нетиповых конфигураций, доработка для нужд предприятия Обучение и поддержка пользователей Обновление доработанных типовых конфигураций с сохранением поддержки Опыт работы и глубокие знания программ 1С УТ(11.4) и КА(2.5) Знания предметной области (торговля, бухучет)  Требования:  Опыт работы не менее 3 лет Знание механизмов и функционала платформы 1С 8.3 Знание типовых механизмов конфигураций УТ и КА, знание БСП Умение разбираться в чужом коде Опыт адаптации типовых механизмов под нужды организации Наличие сертификатов 1С будет конкурентным преимуществом  Условия:​​​​​​  Оформление по ТК РФ Заработная плата по итогам собеседования"
Программист 1 С,,ООО Кранц,,"['Требуемый опыт работы', '', ':', '3–6 лет']","Москва, Сретенский бульвар, 6/1с2",Нет отзывов,"1С: Управление Торговлей, 1С программирование, 1С: Документооборот, 1С: Предприятие 8, MS SQL, 1С: Комплексная автоматизация","Обязанности:  Сопровождение типовых и нетиповых конфигураций, доработка для нужд предприятия Обучение и поддержка пользователей Обновление доработанных типовых конфигураций с сохранением поддержки Опыт работы и глубокие знания программ 1С УТ(11.4) и КА(2.5) Знания предметной области (торговля, бухучет)  Требования:  Опыт работы не менее 3 лет Знание механизмов и функционала платформы 1С 8.3 Знание типовых механизмов конфигураций УТ и КА, знание БСП Умение разбираться в чужом коде Опыт адаптации типовых механизмов под нужды организации Наличие сертификатов 1С будет конкурентным преимуществом  Условия:​​​​​​  Оформление по ТК РФ Заработная плата по итогам собеседования"
Разработчик/Программист РHP (middle),от 60 000 до 160 000 руб. на руки,АО ТЭК-Торг,,"['Требуемый опыт работы', '', ':', '1–3 года']",,Нет отзывов,,"АО «ТЭК-Торг» — федеральная электронная торговая площадка для проведения государственных закупок по 44-ФЗ, закупок по 223-ФЗ, коммерческих закупок, имущественных торгов, малых закупок. ЭТП АО «ТЭК-Торг» основана в декабре 2012 года. На сегодняшний день в команде работает уже более 250 сотрудников. Мы предлагаем широкий спектр ИТ-решений, которые позволяют делать бизнесы конкурентоспособнее. Десятки тысяч поставщиков товаров и услуг с помощью нашей площадки находят своих заказчиков и расширяют рынки сбыта. Мы постоянно растем и ищем талантливых сотрудников, профессионалов своего дела. В настоящее время ищем талантливого Программиста в Технический блок Обязанности:  устранение инцидентов и причин их возникновения в Web-приложении; внесение исправления в БД или в программный код для решения инцидента; решение системных проблем, порождающих инциденты; реализация дополнительного функционала, рефакторинг; выполнение доработок системы, реализация которых снижает число обращений и число инцидентов; выполнение запросов, требующих внесение изменений в БД внештатными средствами; развитие автоматизированного тестирования  Требования:  аналитический склад ума; опыт работы в области разработки ПО от 2-х лет; владение PHP, SQL, JavaScript; базовое знание OC Linux желательно; опыт работы с системой контроля версий исходных текстов  Условия:  работа в стабильной компании; оформление в соответствии с ТК РФ; официальная заработная плата (уровень обсуждаем на собеседовании); ДМС после успешного прохождения испытательного срока.    Предусмотрено тестовое задание"
Программист баз данных,,"Красное & Белое, розничная сеть",,"['Требуемый опыт работы', '', ':', '1–3 года']","Москва, 1-й Красногвардейский проезд, 15",Нет отзывов,"SQL, NoSQL, Базы данных, Практическая работа с PostgreSQL, MySQL, MariaDB, MongoDB","Розничная сеть ""Красное и белое"" приглашает на вакансию ""Программист баз данных"". Обязанности:   Создание баз данных, построение запросов, триггеров, функций, представлений.   Написание составных запросов, измерение реакции, оптимизация структуры баз данных, запросов и представлений.   Работа с распределенными базами данных, кластерными системами, понимание принципа балансировки информации.   Работа с блокировками.   Требования:   Уверенное знание баз данных SQL, NoSQL, практическая работа с PostgreSQL, MySQL, MariaDB, MongoDB.   Твердое понимание принципов работы баз данных.   Условия:  График работы: понедельник-пятница, с 9.00 до 18.00. Место работы (офис): Москва Сити, башня Меркурий. Официальное трудоустройство. Официальная заработная плата три раза в месяц на банковскую карту. Уровень заработной платы обсуждается индивидуально по результатам оценки компетенций."
Программист 1С,от 110 000 до 200 000 руб. на руки,ИнтелАв,,"['Требуемый опыт работы', '', ':', '1–3 года']","посёлок Коммунарка, Бачуринская улица, 8Ас1",Нет отзывов,,"Обязанности: - Знание внутреннего языка и запросов 1С 8; - Умение работать по ТЗ; - Желательно наличие сертификатов 1С специалист; - Разработка не типовых решений в соответствии с требованиями клиента; - Опыт работы в одной из конфигураций: УНФ, УТ 11, КА 2.4 или ERP   Требования: - Опыт работы по профилю от 1 года; - Знание ТИПОВЫХ КОНФИГУРАЦИЙ одного или нескольких программных продуктов 1С 8; - Навыки программирования в среде платформ семейства 1С:Предприятие 8   Условия: - Постоянная работа, полный день, работа на территории работодателя; - Что не знаете - обучим; - Оплачиваемая парковка (если требуется) - Корпоративное обучение и тренинги; - Возможность профессионального и карьерного роста + бонусы; - Работа в офисе, возможна удаленная работа."
Программист,,ООО МК Эксперт,,"['Требуемый опыт работы', '', ':', '1–3 года']","Москва, Люблинская улица, 153","3,7",,"Обязанности:• Обучение пользователей работе с конфигурациями 1С: Предприятие 8;• Демонстрация, установка и настройка типовых конфигураций;• Интеграция 1С с другими конфигурация 1С: Предприятие;• Внедрение конфигураций 1С: Предприятие 8, поддержка и сопровождение пользователей;• Обследование бизнес-процессов автоматизируемых подразделений предприятия, для повышения уровня автоматизация данных подразделений с помощью внедрения и/или доработок конфигураций 1С: Предприятие;• Моделирование бизнес-процессов в подобранных продуктах, составление отчетов и планов внедрения;• Разработка: создание дополнительного функционала конфигураций 1С: Предприятие с целью расширения существующего, а также добавление нового функционала для автоматизации бизнес-процессов;• Доработка/создание отчетов и печатных форм (управленческих и регламентированных);• Интеграция информационных баз 1С с другими учетными системами и веб-сайтами;• Проведение переговоров по внедрению 1С, составление технического задания;• Внедрение и доработки 1С в составе группы специалистов отдела внедрения;• Обучение специалистов отделов внедрения компании Первый БИТ.Требования:Много знатьУсловия:Трудоустройство по ТК"
Системный программист C,,ООО Спектр,Киевская,"['Требуемый опыт работы', '', ':', '3–6 лет']","Москва, Киевская, улица Пудовкина, 13",Нет отзывов,"Английский — C1 — Продвинутый, MATLAB, Linux, Английский язык, C/C++, LTE","Обязанности:  Проектирование, разработка, портирование и тестирование встроенного ПО; Развитие существующего и разработка нового ПО под ОС Linux на языке C; Анализ имеющегося программного кода, модификация и развитие имеющегося программного кода.  Требования:  Отличное знание языка C и умение писать качественный и аккуратный код; Знание архитектуры ядра Linux и опыт разработки драйверов; Понимание работы интерфейсов PCI/PCIe, USB, Ethernet; Владение средствами сборки и отладки ПО в ОС GNU/Linux: gdb, gcc, make, cmake и др; Знание стека TCP/IP и сетевых технологий; Опыт написания многопоточных приложений; Желание разбираться в чужом коде.  Приветствуется:  Знание технологий сотовой связи; Знание Matlab; Понимание принципов ЦОС; Опыт работы с real-time системами; Опыт разработки приложений для встраиваемых систем; Знание английского языка.  Условия:  Участие в уникальных передовых разработках систем связи 4G/5G (LTE, NR); Современная техническая и измерительная база; Дружный коллектив; Оформление в соответствии с ТК РФ; Конкурентная полностью «белая» заработная плата."
Junior .NET разработчик/Младший разработчик.NET,,ООО Онли,,"['Требуемый опыт работы', '', ':', '1–3 года']",,Нет отзывов,"Удаленная работа, С#, .net, Веб-программирование, REST, Restfull","ONLY – IT-компания, предоставляющая услуги по цифровизации бизнес-процессов и разработке ПО. Основные компетенции: аналитика, разработка ПО, IT-консалтинг, дизайн. Наши клиенты:Самолет Девелопмент, Северсталь, НСПК (карты МИР), TUI Group, Сбербанк, Aspen, Газпром Нефть, Рольф, Giunti psychometrics, Республика, Билайн, UCHI.RU Цель роли: Младший разработчик (Junior .NET разработчик) для нас один из ключевых людей при создании продуктов и разработке программ. Что мы предлагаем:  Полностью удаленная работа. Конкурентная «белая» заработная плата. Официальное оформление по ТК РФ, отпуск 28 дней в год. ДМС со стоматологией. Доплата больничных до среднего заработка 14 дней в год. Гибкий график начала и окончания рабочего дня. Описанные, структурированные процессы. Наставничество и поддержку: качественный онбординг новых сотрудников с еженедельными встречами 1:1. Заботливое отношение к сотрудникам, не приветствуются переработки. Межкомандные встречи для обмена опытом.  Что мы ждём от кандидатов:  Уверенное знание С#. Понимание паттернов и архитектурных подходов. Понимание Rest/Restfull приложений.  Чем предстоит заниматься:  Работать с веб-сервисом на .NET 6, добавление/изменение функционала. Активно участвовать в обсуждениях доработок в проекте. Писать читаемый и легко поддерживаемый код в уже имеющемся проекте. Ориентироваться в чужом коде, уметь оптимизировать свои и чужие решения. Работать в команде, обсуждать как архитектурные, так и логические решения.  О компании: Компания основана в 2015 году как внешний отдел разработки. Мы превращаем бизнес-идеи в удобные цифровые продукты в любой точке мира по agile-методу. У нас есть опыт в широком спектре отраслей - от туризма до промышленности, в самых устойчивых, адаптируемых технологиях и платформах.Наши продукты и услуги: Веб-сервисы, корпоративные порталы, системы отчетности и прогнозирования для CRM, системы управления производственными процессами, мобильные приложения, система опросов и аналитики, менеджер задач и контроля времени. Ценности компании:   Сильная и сплоченная команда - мы решаем сложные и комплексные IT-задачи и для нас важно, чтобы каждый сотрудник видел результаты своего вклада в проекты и чувствовал поддержку коллег.   Свобода в выражении инициатив и творчества - мы ценим профессионализм и опыт наших коллег, и всегда рады инициативе и предложениям с их стороны.   Доверие, честность и ответственность - мы за честность и доверие. Каждый член команды может самостоятельно планировать свои ресурсы и нести ответственность за результат.   Качество наших услуг и продуктов - мы полностью несем ответственность за качество и сроки реализации.   Гарантии - ONLY предоставляет годовую гарантию на все виды услуг своим клиентам. Также мы обеспечиваем полные социальные гарантии нашим сотрудникам."
Web-программист fullstack,от 100 000 руб. на руки,Мир Магнитов,,"['Требуемый опыт работы', '', ':', '1–3 года']",,Нет отзывов,"Английский — A2 — Элементарный, AngularJS, ООП, REST, Jetbrains Phpstorm, VueJs, PHP, jQuery, JavaScript, HTML, Git, MySQL, CSS3, HTML5, PHP5, CSS, 1С-Битрикс, SQL, Работа в команде","""Магниты? Это те, что на холодильнике? Сувенирный магазинчик? Как на этом заработать?"" - спросите вы. Откликайтесь, мы все расскажем :)Компании «Мир Магнитов» уже более 14 лет. Мы занимаем лидирующую позицию на Российском рынке в сфере магнитной продукции. У нас есть собственная торговая марка Forceberg, под которой мы производим ряд товаров массового спроса - данная продукция распространяется в розничных магазинах по России и ближнему зарубежью.Мы - это сильная команда профессионалов, и каждый из нас вносит свой вклад в общее дело. Мы - не студия, у нас нет конвейера типовых задач.Мы работаем над собственными проектами, каждый наш шаг - что-то новое, а потому для нас важна инициативность.Сейчас в штате компании более 70 человек, 9 из которых входят в число безумных и гениальных (или, если угодно, безумно гениальных) IT-шников, с которыми вам и предстоит работать. Ищем Web-разработчика (full-stack). Основная задача на этой позиции – поддержка нашего интернет-магазина, интеграция с сервисами и службами, доработки по задачам от бизнеса, а также оптимизация кода.Требования:  уверенное знание PHP 5, 7, знание принципов ООП и умение их применить - обязательно. опыт работы с Bitrix, уметь создавать модули. Применять PSR. Писать валидный понятный для других код; знание JS (обязательно), опыт работы c vue и другими фреймворками; верстка HTML 5, CSS 3; знание SQL, МYSQL, понимания принципов работы, нормализация данных, писать оптимизированные запросы, создавать таблицы с индексами и ключами; опыт работы с REST API (обязательно); работа с GIT; умение самостоятельно настроить базовое окружение для работы;  Плюсом будет:  опыт code review; лидерские качества; опыт работы с SOAP; опыт работы с Laravel; базовые знание linux, командной строки, стек LEMP; опыт работы с docker;  Условия работы:- график работы 5/2 09:00 - 18:00 (МСК),- полная удаленка из любой точки мира (с готовностью работать с 9-10 до 18-19 по Москве),- адекватное руководство, НЕ бюрократизированная компания,- профессиональное развитие и перспективы карьерного роста до Руководителя отдела web-разработки (Team Lead),- оклад + месячная премия после прохождения испытательного срока, совокупный доход от 100 тыс. руб. на руки,- оплачиваемый отпуск 28 календарных дней в год,- готовы предложить оформление по трудовому договору, через ИП или как самозанятого"
Программист PHP,,ООО СКАИД,Коломенская,"['Требуемый опыт работы', '', ':', 'не требуется']","Москва, Коломенская, улица Речников, 19",Нет отзывов,"MySQL, jQuery, ООП, CSS, PHP5","Обязанности: • Участие в разработке сложных и поддержки уже существующих веб-проектов. Требования: • Уверенное знание PHP 7.x., MySQL; • Понимание принципов ООП; • Умение разбираться в чужом коде; • Умение работать с Git; • Знание JavaScript (нативный, jQuery); • Знание основ HTML и CSS. Принципы, которых мы придерживаемся в процессе разработки: • Работа по гибким методологиям; • Проведение код-ревью и рефакторинга; • Соблюдение стандартов оформления кода; • Применение паттернов проектирования; • Обсуждение архитектурных решений; • Программирование на основе интерфейсов, а не их реализации. Условия: • Достойную заработную плату за профессионально выполненную работу; • Разноплановые трудные, но интересные задачи; • Возможность повышения квалификации (посещение конференций, дополнительное образование); • Гибкий график работы, при наличии ответственного подхода к делу и умения планировать свое время;"
Программист С++(middle),,АО 766 УПТК,Нахабино,"['Требуемый опыт работы', '', ':', '3–6 лет']","рабочий посёлок Нахабино, Нахабино, Институтская улица, 1","4,3","Linux, Qt, C++","ОАО ""766 УПТК"" является российским производителем робототехнических комплексов, специализируется на разработке и производстве вооружения, военной и специальной техники для силовых министерств и ведомств Российской Федерации. Обязанности:  Разработка пользовательских интерфейсов для управления беспилотной техникой в Qt Creator.  Требования:  Высшее техническое образование; Опыт работы и программирования в Linux; Навыки программирования на языке С++ 11 и выше (включая STL, шаблоны и исключения); Работа в Qt Creator, Qt Widgets Написание unit-тестов на свой код; Опыт работы в команде; Понимание и умение планировать архитектуру приложений, знание паттернов проектирования.  Будет плюсом:  Знание основных алгоритмов обработки изображения и работы с Computer Vision; Опыт работы с различными media форматами, контейнерами, кодеками; Опыт работы с сетью (TCP, UDP); Знание QtQuick, QML.  Условия:  Локация – МЦД-2 стация Нахабино (Красногорск), Московская область, шаговая доступность. м. Нахабино ул.Институтская улица, 1; Возможна частично удалённая работа (20% офис ,80 % удаленно ) ; ДМС после 6 месяцев работы; По необходимости посещение производственной площадки в г. Красногоск (МЦД-2 стация Нахабино, Московская область); Работа в крупной и стабильной Российской компании; Официальное оформление согласно ТК РФ; Возможности профессионального и карьерного роста."
Ментор для Junior (JS) Developer / Преподаватель программирования,,ООО Оптимакрос,,"['Требуемый опыт работы', '', ':', '3–6 лет']",,"4,8","JavaScript, React, Постановка задач разработчикам, Системное мышление, Обучение, Внутренний контроль, Проведение тестирований, Многозадачность","В крупный международный проект Optimacros требуется Тимлидер/Преподаватель для команды Junior Frontend (JS, React) Developer с опытом от 3 лет. Обязанности сотрудника будут разделены как 60% управление командой Junior-разработчиков и 40% непосредственно разработка кода и проектирование. Условия и перспективы:  Зарплата в зависимости от навыков и масштаба задач Возможно участие в капитале компании (опционная программа) Полугодовой/годовой бонус Перспектива роста Гибкий график и частичная занятость (не менее 20 часов в неделю) Удаленная работа (местоположение не имеет значения) Гражданство кандидата не имеет значения.  Требования:  Образование высшее техническое в области информационных технологий (или эквивалентный опыт от 5 лет) Опыт работы от 2-3 лет на JavaScript Умение и желание обучать, общаться и организовывать коммуникации между членами команды Умение быстро разбираться в уже готовом коде; умение оценивать код и его недостатки/преимущества Опыт работы с командой разработчиков от 1 года Способность разработать модель компетенции (знаний и навыков) для Junior-разработчиков Аналитический склад ума, системность, организованность и многозадачность  Обязанности:  Адаптация, онбординг и обучение команды Junior- разработчиков Управление и координация процесса обучения и практики Junior-разработчиков в рамках внутреннего процесса обучения и подготовки младших разработчиков (Optimacros Practicum) Постановка, контроль и приемка (QA) задач для Junior-разработчиков в процессе обучения Тестирование знаний и навыков, отслеживание их эффективности и прогресса Формирование моделей компетенций (навыков, скилов), оценка сотрудников по моделям Создание списка обучающих материалов, методологических программ подготовки, разработка документации и учебных материалов для Junior-разработчиков Помощь в отборе талантливых Junior-разработчиков (проверка тестовых заданий и участие в собеседованиях в качестве эксперта)  Плюсом будут:  Преподавательский опыт в IT-разработках Опыт управления командой от 10 человек Опыт коучинга и/или менторинга разработчиков Сильная экспертиза в своем стэке Умение мотивировать сотрудников  Просьба не беспокоить, если:  Вы плохо взаимодействуете или общаетесь с другими разработчиками Вам не интересен преподавательский опыт и менторинг"
